date,lbs,,
4/30/2021,9450,,
5/3/2021,15750,,
5/3/2021,10480,,
5/5/2021,18544,,
5/5/2021,3100,,
5/6/2021,6186,,
5/7/2021,2550,,
5/7/2021,12063,,
5/7/2021,4550,,
5/10/2021,8921,,
5/10/2021,15750,,
5/12/2021,17849,,
5/12/2021,1880,,
5/14/2021,10617,,
5/14/2021,5000,,
5/14/2021,2722,,
5/17/2021,15750,,
5/17/2021,8815,,
5/19/2021,16246,,
5/19/2021,4645,,
5/20/2021,188,,
5/21/2021,10294,,
5/21/2021,2742,,
5/21/2021,3960,,
5/24/2021,15750,,
5/24/2021,6124,,
5/26/2021,15032,,
5/26/2021,3005,,
5/26/2021,15032,,
5/28/2021,7782,,
5/28/2021,6070,,
5/28/2021,12110,,
6/4/2021,6570,,
6/4/2021,7290,,
6/7/2021,6070,,
6/8/2021,3515,,
6/9/2021,1265,,
6/9/2021,6465,,
6/10/2021,11484,,
6/11/2021,5075,,
6/11/2021,1700,,
6/14/2021,4634,,
6/16/2021,8714,,
6/17/2021,7350,,
6/18/2021,2590,,
6/18/2021,6550,,
6/21/2021,4700,,
6/23/2021,2100,,
6/23/2021,7836,,
6/24/2021,11350,,
6/25/2021,7868,,
6/25/2021,1725,,
6/28/2021,5670,,
6/30/2021,10765,,
7/1/2021,10910,,
7/2/2021,2705,,
7/6/2021,5170,,
7/7/2021,9550,,
7/8/2021,9385,,
7/9/2021,2175,,
7/9/2021,6960,,
7/12/2021,6180,,
7/13/2021,2690,,
7/14/2021,8820,,
7/15/2021,6035,,
7/16/2021,7830,,
7/16/2021,3755,,
7/19/2021,5890,,
7/20/2021,5415,,
7/21/2021,19200,,
7/23/2021,3730,,
7/26/2021,6355,,
7/27/2021,4140,,
7/28/2021,19200,,
7/28/2021,820,,
7/30/2021,3145,,
8/2/2021,6978,,
8/3/2021,1920,,
8/3/2021,4761,,
8/4/2021,19200,,
8/6/2021,3545,,
8/10/2021,3635,,
8/11/2021,19200,,
8/13/2021,3060,,
8/17/2021,1935,,
8/18/2021,19200,,
8/18/2021,5744,,
8/18/2021,3282,,
8/20/2021,1410,,
8/23/2021,5757,,
8/23/2021,3602,,
8/24/2021,2735,,
8/25/2021,484,,
8/25/2021,19200,,
8/25/2021,8646,,
8/27/2021,3485,,
8/27/2021,8210,,
8/30/2021,5600,,
8/31/2021,2099,,
8/31/2021,3040,,
9/1/2021,19200,,
9/1/2021,1569,,
9/7/2021,4790,,
9/7/2021,585,,
9/8/2021,3065,,
9/10/2021,3325,,
9/13/2021,8210,,
9/14/2021,2140,,
9/15/2021,19200,,
9/15/2021,5460,,
9/17/2021,57168,,
9/17/2021,3160,,
9/20/2021,21322,,
9/21/2021,2455,,
9/22/2021,19200,,
9/23/2021,8210,,
9/24/2021,2505,,
9/27/2021,7159,,
9/28/2021,3930,,
9/29/2021,5053,,
9/29/2021,19200,,
10/1/2021,2045,,
10/1/2021,610,,
10/4/2021,5840,,
10/5/2021,2745,,
10/6/2021,22800,,
10/6/2021,1136,,
10/7/2021,2772,,
10/8/2021,3499,,
10/8/2021,2495,,
10/8/2021,4958,,
10/11/2021,7842,,
10/12/2021,1196,,
10/12/2021,3920,,
10/13/2021,3029,,
10/14/2021,2902,,
10/15/2021,2985,,
10/15/2021,1348,,
10/15/2021,12596,,
10/18/2021,12180,,
10/19/2021,2665,,
10/20/2021,9860,,
10/21/2021,8081,,
10/22/2021,3035,,
10/22/2021,2550,,
10/25/2021,10801,,
10/26/2021,3230,,
10/26/2021,1272,,
10/27/2021,7254,,
10/28/2021,5999,,
10/29/2021,3745,,
10/29/2021,6382,,
11/1/2021,15848,,
11/2/2021,3120,,
11/3/2021,9430,,
11/4/2021,8506,,
11/5/2021,8634,,
11/5/2021,9140,,
11/5/2021,3995,,
11/5/2021,2905,,
11/8/2021,16550,,
11/9/2021,3300,,
11/10/2021,6475,,
11/11/2021,8678,,
11/12/2021,8634,,
11/12/2021,2415,,
11/12/2021,1248,,
11/15/2021,11420,,
11/16/2021,3235,,
11/16/2021,2488,,
11/17/2021,8224,,
